twait_Co5898_300K_90deg_T1,twait_Co5898_100K_90deg_T1,twait_Co5898_50K_90deg_T1,twait_Co5898_45K_90deg_T1,twait_Co5898_40K_90deg_T1,twait_Co5898_35K_90deg_T1,twait_Co5898_22K_90deg_T1,twait_Co5898_30K_90deg_T1,twait_Co5898_29K_90deg_T1,twait_Co5898_28K_90deg_T1,twait_Co5898_27K_90deg_T1,twait_Co5898_26K_90deg_T1,twait_Co5898_25K_90deg_T1,twait_Co5898_24K_90deg_T1,twait_Co5898_23K_90deg_T1,twait_Co5898_21K_90deg_T1,twait_Co5898_20K_90deg_T1,twait_Co5898_19K_90deg_T1,twait_Co5898_18K_90deg_T1,twait_Co5898_17K_90deg_T1,twait_Co5898_16K_90deg_T1,twait_Co5898_15K_90deg_T1,twait_Co5898_13K_90deg_T1,twait_Co5898_4p5K_90deg_T1,twait_Co5898_250K_90deg_T1,twait_Co5898_200K_90deg_T1,twait_Co5898_150K_90deg_T1,twait_Co5898_85K_90deg_T1,twait_Co5898_75K_90deg_T1,twait_Co5898_65K_90deg_T1,twait_Co5898_57p5K_90deg_T1,twait_Co5898_32p5K_90deg_T1,twait_Co5898_12K_90deg_T1,twait_Co5898_11K_90deg_T1,twait_Co5898_10K_90deg_T1,twait_Co5898_9K_90deg_T1,twait_Co5898_8K_90deg_T1,twait_Co5898_7K_90deg_T1,twait_Co5898_6K_90deg_T1,twait_Co5898_5p25K_90deg_T1,r_Co5898_300K_90deg_T1,r_Co5898_100K_90deg_T1,r_Co5898_50K_90deg_T1,r_Co5898_45K_90deg_T1,r_Co5898_40K_90deg_T1,r_Co5898_35K_90deg_T1,r_Co5898_22K_90deg_T1,r_Co5898_30K_90deg_T1,r_Co5898_29K_90deg_T1,r_Co5898_28K_90deg_T1,r_Co5898_27K_90deg_T1,r_Co5898_26K_90deg_T1,r_Co5898_25K_90deg_T1,r_Co5898_24K_90deg_T1,r_Co5898_23K_90deg_T1,r_Co5898_21K_90deg_T1,r_Co5898_20K_90deg_T1,r_Co5898_19K_90deg_T1,r_Co5898_18K_90deg_T1,r_Co5898_17K_90deg_T1,r_Co5898_16K_90deg_T1,r_Co5898_15K_90deg_T1,r_Co5898_13K_90deg_T1,r_Co5898_4p5K_90deg_T1,r_Co5898_250K_90deg_T1,r_Co5898_200K_90deg_T1,r_Co5898_150K_90deg_T1,r_Co5898_85K_90deg_T1,r_Co5898_75K_90deg_T1,r_Co5898_65K_90deg_T1,r_Co5898_57p5K_90deg_T1,r_Co5898_32p5K_90deg_T1,r_Co5898_12K_90deg_T1,r_Co5898_11K_90deg_T1,r_Co5898_10K_90deg_T1,r_Co5898_9K_90deg_T1,r_Co5898_8K_90deg_T1,r_Co5898_7K_90deg_T1,r_Co5898_6K_90deg_T1,r_Co5898_5p25K_90deg_T1
1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,5e-06,1e-06,1e-06,1e-06,1e-05,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-05,-2.47969e+06,-3.34614e+06,-7.28477e+06,-1.58971e+07,-4.08752e+06,-1.70857e+06,-9.9909e+06,-3.3732e+06,-2.96797e+06,-2.58963e+06,-4.45873e+06,-1.95345e+06,-1.61816e+06,-2.48803e+06,-4.12004e+06,-4.86193e+06,-4.65218e+06,-1.91097e+06,-689811,-1.23541e+06,-792798,-605573,-1.10803e+06,-560166,-4.28914e+06,-804919,-1.11015e+06,-730433,-792108,-1.05499e+06,-5355.93,-3.69122e+06,-788915,-545269,-837172,-1.27424e+06,-809234,-610175,-1.09562e+06,-626291
4e-06,4e-06,4e-06,4e-06,4e-06,4e-06,4e-06,4e-06,4e-06,4e-06,4e-06,4e-06,4e-06,4e-06,4e-06,4e-06,4e-06,4e-06,4e-06,2.1e-05,5e-06,5e-06,5e-06,4.9e-05,4e-06,4e-06,4e-06,4e-06,4e-06,4e-06,4e-06,4e-06,5e-06,5e-06,5e-06,5e-06,2.8e-05,2.8e-05,2.8e-05,4.9e-05,-2.7899e+06,-3.24031e+06,-7.31725e+06,-1.58158e+07,-4.08687e+06,-1.72388e+06,-9.79231e+06,-3.21744e+06,-2.94344e+06,-2.50583e+06,-4.35497e+06,-1.84336e+06,-1.5813e+06,-2.48256e+06,-4.0405e+06,-4.76174e+06,-4.7414e+06,-2.02718e+06,-630784,-1.10823e+06,-832822,-640234,-971630,-533547,-3.97397e+06,-847344,-1.0907e+06,-753892,-804170,-1.05179e+06,-4163.1,-3.73756e+06,-940053,-619235,-847416,-1.20888e+06,-756327,-753041,-1.06405e+06,-667984
1.8e-05,1.8e-05,1.8e-05,1.8e-05,1.8e-05,1.8e-05,1.8e-05,1.8e-05,1.8e-05,1.8e-05,1.8e-05,1.8e-05,1.8e-05,1.8e-05,1.8e-05,1.8e-05,1.8e-05,1.8e-05,1.8e-05,8.8e-05,2.1e-05,2.1e-05,2.5e-05,0.000236,1.8e-05,1.8e-05,1.8e-05,1.8e-05,1.8e-05,1.8e-05,1.8e-05,1.8e-05,2.5e-05,2.8e-05,2.8e-05,2.8e-05,0.000144,0.000144,0.000144,0.000236,-2.61143e+06,-3.32051e+06,-7.28061e+06,-1.56058e+07,-3.97279e+06,-1.66487e+06,-8.76898e+06,-3.04455e+06,-2.69632e+06,-2.29998e+06,-3.90214e+06,-1.60021e+06,-1.37521e+06,-2.13133e+06,-3.59843e+06,-4.33172e+06,-4.37569e+06,-1.68475e+06,-525367,-676729,-730707,-641734,-974302,-439075,-4.27274e+06,-868398,-1.19734e+06,-717090,-829493,-992860,-8784.08,-3.48495e+06,-856627,-501585,-963055,-1.41557e+06,-761238,-652021,-1.00436e+06,-487413
7.9e-05,7.9e-05,7.9e-05,7.9e-05,7.9e-05,7.9e-05,7.9e-05,7.9e-05,7.9e-05,7.9e-05,7.9e-05,7.9e-05,7.9e-05,7.9e-05,7.9e-05,7.9e-05,7.9e-05,7.9e-05,7.9e-05,0.000368,8.8e-05,8.8e-05,0.000126,0.001145,7.9e-05,7.9e-05,7.9e-05,7.9e-05,7.9e-05,7.9e-05,7.9e-05,7.9e-05,0.000126,0.000144,0.000144,0.000144,0.000756,0.000756,0.000756,0.001145,-2.54464e+06,-3.07017e+06,-6.80633e+06,-1.44607e+07,-3.61956e+06,-1.43408e+06,-5.73102e+06,-2.28479e+06,-1.95907e+06,-1.59028e+06,-2.53479e+06,-974861,-828590,-1.31161e+06,-2.17636e+06,-3.16325e+06,-3.30744e+06,-1.42237e+06,-550527,-453118,-531267,-528465,-710602,-453697,-3.89006e+06,-777930,-1.03587e+06,-686703,-782964,-973972,-6679.55,-2.87057e+06,-648021,-464198,-787629,-1.13711e+06,-483057,-487079,-797370,-443381
0.00015,0.00015,0.00015,0.00015,0.00015,0.00015,0.00015,0.00015,0.00015,0.00015,0.00015,0.00015,0.00015,0.00015,0.00015,0.00015,0.00015,0.00015,0.00015,0.001544,0.000368,0.000368,0.000632,0.005558,0.00015,0.00015,0.00015,0.00015,0.00015,0.00015,0.00015,0.00015,0.000632,0.000756,0.000756,0.000756,0.003966,0.003966,0.003966,0.005558,-2.11752e+06,-3.06905e+06,-6.38149e+06,-1.34276e+07,-3.32966e+06,-1.26338e+06,-3.60992e+06,-1.71941e+06,-1.44717e+06,-1.01759e+06,-1.45128e+06,-528950,-422726,-608935,-1.34441e+06,-2.31927e+06,-2.5843e+06,-1.03535e+06,-286598,83433.8,-382621,-72455.1,-427166,-267287,-3.81822e+06,-749643,-1.01455e+06,-648089,-755665,-924338,-4166.59,-2.41815e+06,-506358,-163032,-383632,-934422,-69438.5,-327018,-539251,-223193
0.000341,0.000341,0.000341,0.000341,0.000341,0.000341,0.000341,0.000341,0.000341,0.000341,0.000341,0.000341,0.000341,0.000341,0.000341,0.000341,0.000341,0.000341,0.000341,0.006475,0.001544,0.001544,0.003166,0.026987,0.000341,0.000341,0.000341,0.000341,0.000341,0.000341,0.000341,0.000341,0.003166,0.003966,0.003966,0.003966,0.020801,0.020801,0.020801,0.026987,-1.47275e+06,-2.61287e+06,-5.32609e+06,-1.07523e+07,-2.53685e+06,-876654,-334576,-829364,-416003,-140406,145574,175706,222454,260372,167599,-792631,-1.31682e+06,-559140,-244172,837183,100152,32870,254770,-90713.2,-2.81436e+06,-539722,-900213,-590632,-697105,-817864,-5237.48,-1.50086e+06,-26284.5,38465.7,17134.6,-130771,100362,103069,-78258.6,-19704.5
0.0008,0.0008,0.0008,0.0008,0.0008,0.0008,0.0008,0.0008,0.0008,0.0008,0.0008,0.0008,0.0008,0.0008,0.0008,0.0008,0.0008,0.0008,0.0008,0.027144,0.006475,0.006475,0.015874,0.131037,0.0008,0.0008,0.0008,0.0008,0.0008,0.0008,0.0008,0.0008,0.015874,0.020801,0.020801,0.020801,0.109084,0.109084,0.109084,0.131037,558452,-1.77128e+06,-3.23855e+06,-6.25716e+06,-1.27618e+06,-331738,3.73852e+06,478222,683295,943591,2.08888e+06,1.04739e+06,914118,1.41494e+06,1.90043e+06,1.03864e+06,360935,38501.9,101039,1.31823e+06,528161,472982,721485,194112,-441938,-191017,-438789,-421997,-491196,-524133,-4407.62,-171281,585496,506660,545552,580233,649188,548774,575626,297151
0.001466,0.001466,0.001466,0.001466,0.001466,0.001466,0.001466,0.001466,0.001466,0.001466,0.001466,0.001466,0.001466,0.001466,0.001466,0.001466,0.001466,0.001466,0.001466,0.113796,0.027144,0.027144,0.079579,0.636248,0.001466,0.001466,0.001466,0.001466,0.001466,0.001466,0.001466,0.001466,0.079579,0.109084,0.109084,0.109084,0.572059,0.572059,0.572059,0.636248,2.7175e+06,-704195,-1.05841e+06,-1.32846e+06,-25843.6,154316,6.69243e+06,1.47307e+06,1.63289e+06,1.736e+06,3.49535e+06,1.62898e+06,1.44221e+06,2.26411e+06,3.33263e+06,2.08281e+06,1.67338e+06,433386,324810,1.61073e+06,862128,742031,1.22811e+06,501783,1.62174e+06,250157,-91730.7,-202358,-226675,-208890,-1798.25,819765,1.13906e+06,827879,1.2586e+06,1.502e+06,1.2047e+06,946773,1.35441e+06,706639
0.00255,0.00255,0.00255,0.00255,0.00255,0.00255,0.00255,0.00255,0.00255,0.00255,0.00255,0.00255,0.00255,0.00255,0.00255,0.00255,0.00255,0.00255,0.00255,0.477066,0.113796,0.113796,0.398947,3.08929,0.00255,0.00255,0.00255,0.00255,0.00255,0.00255,0.00255,0.00255,0.398947,0.572059,0.572059,0.572059,3,3,3,3.08929,4.57548e+06,598714,1.43056e+06,3.86632e+06,1.2624e+06,693088,9.33014e+06,2.3866e+06,2.48636e+06,2.44863e+06,4.66194e+06,2.10267e+06,1.8242e+06,2.91931e+06,4.34334e+06,3.39187e+06,2.72225e+06,1.08348e+06,342843,1.74802e+06,1.26309e+06,1.20367e+06,1.77785e+06,780088,4.23333e+06,811913,446840,112705,58752.6,128820,108.064,1.92534e+06,1.43228e+06,1.08621e+06,1.65087e+06,2.1566e+06,1.2986e+06,1.20351e+06,1.64272e+06,889276
0.004059,0.004059,0.004059,0.004059,0.004059,0.004059,0.004059,0.004059,0.004059,0.004059,0.004059,0.004059,0.004059,0.004059,0.004059,0.004059,0.004059,0.004059,0.004059,2,0.477066,0.477066,2,15,0.004059,0.004059,0.004059,0.004059,0.004059,0.004059,0.004059,0.004059,2,3,3,3,5,7,7,15,5.99449e+06,2.00688e+06,3.74424e+06,8.58499e+06,2.44824e+06,1.09951e+06,1.13705e+07,3.15542e+06,3.12546e+06,3.00394e+06,5.65419e+06,2.54664e+06,2.19716e+06,3.42342e+06,5.0143e+06,4.30214e+06,3.66344e+06,1.39092e+06,546850,1.7621e+06,1.24609e+06,1.1227e+06,1.86448e+06,897593,6.46527e+06,1.29189e+06,983997,394859,384850,513082,5253.38,2.74836e+06,1.60129e+06,1.25995e+06,1.67105e+06,2.40605e+06,1.32107e+06,1.18829e+06,1.79903e+06,1.06682e+06
0.0063,0.0063,0.0063,0.0063,0.0063,0.0063,0.0063,0.0063,0.0063,0.0063,0.0063,0.0063,0.0063,0.0063,0.0063,0.0063,0.0063,0.0063,0.0063,,2,2,,20,0.0063,0.0063,0.0063,0.0063,0.0063,0.0063,0.0063,0.0063,,,,,,,,,6.85675e+06,3.15077e+06,5.74251e+06,1.29144e+07,3.56108e+06,1.53097e+06,1.303e+07,3.78715e+06,3.63727e+06,3.47959e+06,6.36581e+06,2.87268e+06,2.43408e+06,3.82155e+06,5.64286e+06,5.20684e+06,4.44772e+06,1.6007e+06,823179,,1.48141e+06,1.32249e+06,,897565,7.68807e+06,1.60821e+06,1.44702e+06,692307,677098,833723,4523.74,3.61972e+06,,,,,,,,
0.0125,0.0125,0.0125,0.0125,0.0125,0.0125,0.0125,0.0125,0.0125,0.0125,0.0125,0.0125,0.0125,0.0125,0.0125,0.0125,0.0125,0.0125,0.0125,,,,,,0.0125,0.0125,0.0125,0.0125,0.0125,0.0125,0.0125,0.0125,,,,,,,,,7.30418e+06,4.68145e+06,8.44711e+06,1.8397e+07,4.87781e+06,2.05385e+06,1.51942e+07,4.62112e+06,4.40552e+06,3.99854e+06,7.23566e+06,3.14991e+06,2.68084e+06,4.31833e+06,6.48818e+06,6.27134e+06,5.60001e+06,2.20036e+06,1.14935e+06,,,,,,8.72933e+06,1.89137e+06,1.84564e+06,965849,1.00332e+06,1.2786e+06,8392.57,4.65671e+06,,,,,,,,
0.027073,0.027073,0.027073,0.027073,0.027073,0.027073,0.027073,0.027073,0.027073,0.027073,0.027073,0.027073,0.027073,0.027073,0.027073,0.027073,0.027073,0.027073,0.027073,,,,,,0.027073,0.027073,0.027073,0.027073,0.027073,0.027073,0.027073,0.027073,,,,,,,,,7.57712e+06,5.35709e+06,1.02641e+07,2.2309e+07,5.93153e+06,2.47322e+06,1.62698e+07,5.25641e+06,4.87844e+06,4.3708e+06,7.86786e+06,3.41142e+06,2.84813e+06,4.5941e+06,6.901e+06,6.99674e+06,6.42076e+06,2.49467e+06,1.26022e+06,,,,,,8.9513e+06,1.91827e+06,1.98611e+06,1.1484e+06,1.26527e+06,1.515e+06,10153.3,5.44908e+06,,,,,,,,
0.116346,0.116346,0.116346,0.116346,0.116346,0.116346,0.116346,0.116346,0.116346,0.116346,0.116346,0.116346,0.116346,0.116346,0.116346,0.116346,0.116346,0.116346,0.116346,,,,,,0.116346,0.116346,0.116346,0.116346,0.116346,0.116346,0.116346,0.116346,,,,,,,,,7.58086e+06,5.72484e+06,1.13244e+07,2.45995e+07,6.4834e+06,2.72783e+06,1.72995e+07,5.66888e+06,5.17754e+06,4.61884e+06,8.24719e+06,3.51826e+06,3.01441e+06,4.70529e+06,7.16729e+06,7.62535e+06,7.20818e+06,3.02669e+06,1.475e+06,,,,,,9.27725e+06,1.96678e+06,2.07543e+06,1.21959e+06,1.35565e+06,1.6584e+06,8011.53,5.98268e+06,,,,,,,,
0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,,,,,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,,,,,,,,,7.41107e+06,5.78288e+06,1.14162e+07,2.48513e+07,6.52188e+06,2.75605e+06,1.71509e+07,5.65797e+06,5.22774e+06,4.64859e+06,8.19134e+06,3.5441e+06,2.98046e+06,4.72943e+06,7.23241e+06,7.8189e+06,6.86347e+06,2.94484e+06,1.6421e+06,,,,,,9.02558e+06,1.98407e+06,2.07001e+06,1.22786e+06,1.37218e+06,1.66807e+06,7519.62,6.06859e+06,,,,,,,,
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,0,,1,,,,,,1,1,1,1,1,1,1,1,,,,,,,,,7.47619e+06,5.77616e+06,1.14267e+07,2.48272e+07,6.51706e+06,2.77619e+06,1.74382e+07,5.68175e+06,5.28517e+06,4.67585e+06,8.27817e+06,3.55048e+06,2.94931e+06,4.61794e+06,7.15765e+06,,-4.70561e+06,,1.68973e+06,,,,,,8.96977e+06,2.02586e+06,1.99352e+06,1.19321e+06,1.33867e+06,1.67991e+06,9663.17,6.02679e+06,,,,,,,,
